"Label","Group","S","pVal","n","LUgroup","var"
"TDP_agDominated",NA,0.424747518011791,0.001,112,"agDominated","TDP"
"TEMP_allsites",NA,0.750831217810711,0.001,360,"allsites","TEMP"
"TEMP_wetDominated",NA,0.834445823631938,0.001,225,"wetDominated","TEMP"
"TEMP_mixed",NA,0.768146555325577,0.001,253,"mixed","TEMP"
"TEMP_agDominated",NA,0.776398913067776,0.001,105,"agDominated","TEMP"
"TP_allsites",NA,0.441771789101287,0.001,360,"allsites","TP"
"TP_wetDominated",NA,0.357651351778762,0.001,195,"wetDominated","TP"
"TP_mixed",NA,0.446630819677873,0.001,299,"mixed","TP"
"TP_agDominated",NA,0.579636472405453,0.001,105,"agDominated","TP"
"TSS_allsites",NA,0.170868069440032,0.001,360,"allsites","TSS"
"TSS_wetDominated",NA,0.137408024245214,0.001,195,"wetDominated","TSS"
"TSS_mixed",NA,0.140625177949468,0.001,253,"mixed","TSS"
"TSS_agDominated",NA,0.113284122096572,0.029,126,"agDominated","TSS"
"A254_allsites",NA,0.010570824524313,0.772,88,"allsites","A254"
"A254_wetDominated",NA,0.114164070830473,0.046,60,"wetDominated","A254"
"A254_mixed",NA,0.168831168831169,0.036,44,"mixed","A254"
"A254_agDominated",NA,0.428571428571428,0.107,14,"agDominated","A254"
"Cth_allsites",NA,0.225330917254963,0.001,315,"allsites","Cth"
"Cth_wetDominated",NA,0.11260056718277,0.005,195,"wetDominated","Cth"
"Cth_mixed",NA,0.301596448431338,0.001,184,"mixed","Cth"
"Cth_agDominated",NA,0.0103927649171641,0.865,91,"agDominated","Cth"
"Cmh_allsites",NA,0.664795703543884,0.001,315,"allsites","Cmh"
"Cmh_wetDominated",NA,0.572939409490118,0.001,195,"wetDominated","Cmh"
"Cmh_mixed",NA,0.579651548167632,0.001,184,"mixed","Cmh"
"Cmh_agDominated",NA,0.306472154005085,0.001,91,"agDominated","Cmh"
"Cmp_allsites",NA,0.194039843461215,0.001,315,"allsites","Cmp"
"Cmp_wetDominated",NA,0.196279709447689,0.001,195,"wetDominated","Cmp"
"Cmp_mixed",NA,0.234213796287244,0.001,184,"mixed","Cmp"
"Cmp_agDominated",NA,0.113391466393191,0.055,91,"agDominated","Cmp"
"Cf_allsites",NA,0.173405349918068,0.001,315,"allsites","Cf"
"Cf_wetDominated",NA,0.0685106234755045,0.025,195,"wetDominated","Cf"
"Cf_mixed",NA,0.278119508669554,0.001,184,"mixed","Cf"
"Cf_agDominated",NA,-0.00303969151401802,0.964,91,"agDominated","Cf"
