"ASN.SITE.NO","DAY","MONTH","YEAR","DOC","A350","SR","BA","FI","HIXOHNO","C1","C2","C3","C4","C5","C6","C7","SUVA254","DISC","DO","pH","S.COND","SRP","TDN","TDP","TEMP","TP","TSS","A254","Cth","Cmh","Cmp","Cf"
5,NA,4,2005,8.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71,336,NA,NA,NA,NA,6.85209,NA,NA,NA,NA,NA,NA
6,NA,4,2005,7.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,357,NA,NA,NA,NA,14.151665,NA,NA,NA,NA,NA,NA
7,NA,4,2005,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,348,NA,NA,NA,NA,6.411495,NA,NA,NA,NA,NA,NA
8,NA,4,2005,10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,375,NA,NA,NA,NA,11.38087,NA,NA,NA,NA,NA,NA
9,NA,4,2005,8.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.79,440,NA,NA,NA,NA,7.824155,NA,NA,NA,NA,NA,NA
10,NA,4,2005,8.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,394,NA,NA,NA,NA,15.178255,NA,NA,NA,NA,NA,NA
11,NA,4,2005,4.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,250,NA,NA,NA,NA,9.52908,NA,NA,NA,NA,NA,NA
12,NA,4,2005,2.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,334,NA,NA,NA,NA,6.99749,NA,NA,NA,NA,NA,NA
13,NA,4,2005,6.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.84,227,NA,NA,NA,NA,7.015665,NA,NA,NA,NA,NA,NA
14,NA,4,2005,5.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,598,NA,NA,NA,NA,31.486725,NA,NA,NA,NA,NA,NA
15,NA,4,2005,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.64,613,NA,NA,NA,NA,21.251315,NA,NA,NA,NA,NA,NA
16,NA,4,2005,7.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,483,NA,NA,NA,NA,17.086035,NA,NA,NA,NA,NA,NA
17,NA,4,2005,18.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,301,NA,NA,NA,NA,20.29889,NA,NA,NA,NA,NA,NA
18,NA,4,2005,5.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77,434,NA,NA,NA,NA,11.164235,NA,NA,NA,NA,NA,NA
19,NA,4,2005,7.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,346,NA,NA,NA,NA,6.540185,NA,NA,NA,NA,NA,NA
