"ASN.SITE.NO","DAY","MONTH","YEAR","DOC","A350","SR","BA","FI","HIXOHNO","C1","C2","C3","C4","C5","C6","C7","SUVA254","DISC","DO","pH","S.COND","SRP","TDN","TDP","TEMP","TP","TSS","A254","Cth","Cmh","Cmp","Cf"
53,17,6,2010,3.170988282,2.62489851,0.817993017,0.668225766,1.480518982,0.919002853,0.693704061,0.805378723,0.420494678,0.185123429,0.315535095,0.340779985,0.18151756,3.763732759,1.4642,7.74,NA,682,NA,5658.581187,14.6452722,18.4,18.06478112,27.91122995,NA,1.919577462,0.65631508,0.18151756,0.185123429
54,16,6,2010,11.83506127,11.04019798,0.826701729,0.539389687,1.345425572,0.953862857,2.12346554,1.988165259,1.400063785,0.655727722,0.657976792,0.412349513,0.230264991,3.758324437,5.0455,6.52,NA,524,NA,2661.544489,6.0095256,18,16.56300156,12.008,NA,5.511694584,1.070326305,0.230264991,0.655727722
55,17,6,2010,6.30189022,4.894449055,0.771353557,0.749105519,1.402542083,0.929296218,1.314847253,1.382582885,0.856476691,0.391228416,0.500080453,0.352951657,0.253243564,3.401258303,0.0299,9.63,NA,769,NA,8580.180543,5.3637481,14.4,6.145350175,2.331550802,NA,3.553906829,0.85303211,0.253243564,0.391228416
55.5,NA,6,2010,NA,2.08,0.679365798,0.610237013,1.547637971,0.90088356,0.471661993,0.601318652,0.246079419,0.131808176,0.243530192,0.237315058,0.15442282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.319060064,0.48084525,0.15442282,0.131808176
1,8,5,2011,7.248305448,4.663551046,0.900433862,0.58271867,1.334667692,0.931374955,0.697863812,0.822484446,0.722401723,0.157894975,0.281066578,0.629662433,0.252830223,2.894227499,NA,NA,NA,NA,NA,772.048808,12.3,NA,15.81428571,1.99,NA,2.242749981,0.910729011,0.252830223,0.157894975
2,28,4,2011,7.568945853,4.984257065,0.890678892,0.600188279,1.38580232,0.94296516,0.935905532,1.006563591,0.673680878,0.245895512,0.32024434,0.311848032,0.170983501,2.835985061,NA,NA,NA,NA,NA,1976.38096,5.5333333,NA,21.42857143,1.951,NA,2.616150001,0.632092372,0.170983501,0.245895512
3,NA,5,2011,8.969547628,5.480191874,0.910432656,0.594891947,1.364889637,0.939083286,1.000150651,1.122671493,0.750733788,0.280056668,0.346348444,0.31642013,0.195676661,2.706713981,NA,NA,NA,NA,NA,667.853352,NA,NA,NA,1.592,NA,2.873555932,0.662768574,0.195676661,0.280056668
4,28,4,2011,10.51032198,7.935638605,0.880428756,0.527289349,1.33394086,0.949541497,1.590205151,1.664118062,0.942002494,0.454113745,0.482004176,0.245089137,0.214227286,3.251198848,NA,NA,NA,NA,NA,732.119893,5.1333333,NA,20.71428571,0.49,NA,4.196325707,0.727093313,0.214227286,0.454113745
5,NA,5,2011,9.863890387,7.600341417,0.903400046,0.56742772,1.340077064,0.952259902,1.457003174,1.542170461,1.095257802,0.440753123,0.442124777,0.357057091,0.202874467,3.252912164,NA,NA,NA,NA,NA,776.992388,NA,NA,NA,0.851,NA,4.094431437,0.799181868,0.202874467,0.440753123
6,28,4,2011,8.598644258,5.414358622,0.892914527,0.618937545,1.351806427,0.938742132,1.015257439,1.135567688,0.733519977,0.262408175,0.3555338,0.359737121,0.200320931,2.762248642,NA,NA,NA,NA,NA,1885.114867,5.2,NA,13.67142857,2.213,NA,2.884345104,0.715270921,0.200320931,0.262408175
7,NA,5,2011,13.20491088,10.96291909,0.867445994,0.528068922,1.344771951,0.959672439,2.293502281,2.293323553,1.655876545,0.696575841,0.682308845,0.481269454,0.25089797,3.53004334,NA,NA,NA,NA,NA,761.401097,NA,NA,NA,0.636363636,NA,6.242702379,1.163578299,0.25089797,0.696575841
8,2,5,2011,11.64615334,9.06298347,0.85802401,0.556974595,1.346061277,0.956738053,1.94691359,1.994423351,1.343138089,0.53852575,0.617224569,0.460911744,0.229030722,3.352988085,NA,NA,NA,NA,NA,1134.451252,7.7,NA,16.52857143,2.231313131,NA,5.28447503,1.078136313,0.229030722,0.53852575
9,2,5,2011,9.408369668,6.463717683,0.861688014,0.580160326,1.312446226,0.940538513,1.22165333,1.324219573,0.91212222,0.367246852,0.410785587,0.372384549,0.221925185,2.989817936,NA,NA,NA,NA,NA,2447.542165,6.3666667,NA,23.57142857,1.988832487,NA,3.457995123,0.783170136,0.221925185,0.367246852
10,28,4,2011,8.851372355,5.442435449,0.874009666,0.597365068,1.441048087,0.946493239,1.132989077,1.290367993,0.863253139,0.298640053,0.402297578,0.391597829,0.188974757,2.811279331,NA,NA,NA,NA,NA,1261.463232,6.5,NA,11.52857143,3.008,NA,3.286610209,0.793895407,0.188974757,0.298640053
11,28,4,2011,5.083572144,2.515540218,0.978100249,0.632094288,1.337514506,0.906365756,0.376241882,0.44210071,0.36843067,0.10344846,0.121202042,0.198547752,0.136836787,2.402175572,NA,NA,NA,NA,NA,488.363369,4.3,NA,20,3.424,NA,1.186773262,0.319749794,0.136836787,0.10344846
12,NA,5,2011,3.761807406,2.5782192,0.833400944,0.601414258,1.412048195,0.951678069,0.540816953,0.523577261,0.279290811,0.154868692,0.200774879,0.151332197,0.064608305,2.814014876,NA,NA,NA,NA,NA,1551.613352,NA,NA,NA,2.707216495,NA,1.343685025,0.352107076,0.064608305,0.154868692
13,2,5,2011,8.56685254,7.085722147,0.844992682,0.542464909,1.309560371,0.954772801,1.158377863,1.119681523,0.70608743,0.327124922,0.344267352,0.200561501,0.141880194,3.316490031,NA,NA,NA,NA,NA,872.441511,4.1333333,NA,18.57142857,1.944455959,NA,2.984146816,0.544828853,0.141880194,0.327124922
14,2,5,2011,8.203656253,4.855073261,0.896641314,0.636698272,1.402933807,0.93256989,0.983069699,1.115730686,0.804272196,0.230175879,0.360165994,0.529501635,0.209103503,2.714857068,NA,NA,NA,NA,NA,2030.380065,10.6666667,NA,20.81428571,6.998,NA,2.903072581,0.889667629,0.209103503,0.230175879
15,NA,5,2011,14.86899855,11.90902553,0.83072233,0.580858258,1.371710783,0.96187661,2.692642443,2.725231375,2.176432358,0.801333911,0.909967741,0.912149019,0.262935949,3.480371798,NA,NA,NA,NA,NA,1444.375693,NA,NA,NA,10.555,NA,7.594306176,1.82211676,0.262935949,0.801333911
16,2,5,2011,9.76835467,6.155876372,0.849184834,0.616286493,1.424853577,0.942732555,1.298446797,1.430376186,0.931336438,0.356415764,0.472988257,0.491944719,0.215519773,2.852020213,NA,NA,NA,NA,NA,1305.575177,8.8333333,NA,17.24285714,2.117098446,NA,3.660159421,0.964932976,0.215519773,0.356415764
17,NA,5,2011,20.08955514,18.98234302,0.851172262,0.522486323,1.277895074,0.96440925,3.948797863,3.674290466,3.025498067,1.150325527,1.022971999,0.758495499,0.353856755,3.979023371,NA,NA,NA,NA,NA,1053.07232,NA,NA,NA,1.722105263,NA,10.648586396,1.781467498,0.353856755,1.150325527
18,2,5,2011,6.636388808,3.962304128,0.864401463,0.628105896,1.310684813,0.931242319,0.788492336,0.887187524,0.594871686,0.215307508,0.280662787,0.348999506,0.177543595,2.716592932,NA,NA,NA,NA,NA,1674.822578,6.2666667,NA,20.81428571,5.969148936,NA,2.270551546,0.629662293,0.177543595,0.215307508
19,28,4,2011,8.631399361,3.927966279,0.965772619,0.646914742,1.333008013,0.918046135,0.634279611,0.721107079,0.60509595,0.169564462,0.201441653,0.342730837,0.187977669,2.308067446,NA,NA,NA,NA,NA,1422.699996,3.6,NA,15.1,2.514,NA,1.96048264,0.54417249,0.187977669,0.169564462
22,NA,5,2011,6.031382791,4.233451541,0.899645041,0.563442707,1.27919854,0.920364513,0.534065438,0.594101333,0.355283748,0.135123055,0.149605666,0.090291431,0.138255506,2.844747471,NA,NA,NA,NA,NA,633.248292,NA,NA,NA,3.288,NA,1.483450519,0.239897097,0.138255506,0.135123055
23,NA,5,2011,5.489478516,3.403249065,0.87234347,0.569390398,1.360849882,0.940864038,0.67692971,0.735416687,0.397187458,0.200011939,0.223524623,0.156501549,0.112356341,2.791384013,NA,NA,NA,NA,NA,484.18034,NA,NA,NA,0.51,NA,1.809533855,0.380026172,0.112356341,0.200011939
24,8,5,2011,6.467638195,2.992475212,0.987730226,0.607552051,1.371740758,0.897233209,0.4946927,0.660133404,0.455638566,0.10798599,0.127948922,0.185631485,0.203281024,2.27981782,NA,NA,NA,NA,NA,801.710288,2.0333333,NA,16.42857143,1.107772021,NA,1.61046467,0.313580407,0.203281024,0.10798599
27,4,5,2011,5.050811222,2.942047587,0.858621607,0.592107089,1.330872814,0.94153182,0.712851072,0.840324624,0.509446039,0.190596649,0.239152248,0.270191684,0.138648586,2.705262301,NA,NA,NA,NA,NA,1539.44454,0.8666667,NA,12.95714286,7.960204082,NA,2.062621735,0.509343932,0.138648586,0.190596649
28,4,5,2011,3.268061783,1.770478966,0.857143603,0.644865384,1.406126337,0.921737481,0.418343426,0.489704433,0.248886589,0.115784524,0.147096932,0.135407951,0.107785572,2.559945687,NA,NA,NA,NA,NA,1226.477896,0.95,NA,10.1,5.751546392,NA,1.156934448,0.282504883,0.107785572,0.115784524
29,28,4,2011,12.08882892,9.316212549,0.903623056,0.550246065,1.302997264,0.953349616,1.686147938,1.822629504,1.357392719,0.478563391,0.507629476,0.439534878,0.230983549,3.312039167,NA,NA,NA,NA,NA,911.609875,3.35,NA,19.28571429,1.731,NA,4.866170161,0.947164354,0.230983549,0.478563391
31,NA,5,2011,9.025102852,6.429661669,0.940157912,0.573029039,1.386757955,0.935133702,1.043011977,1.189330484,0.800154548,0.253399978,0.352979441,0.360285613,0.223943414,2.994115038,NA,NA,NA,NA,NA,626.403335,NA,NA,NA,1.485,NA,3.032497009,0.713265054,0.223943414,0.253399978
32,NA,5,2011,7.231323772,3.839132212,0.832613363,0.674610496,1.402079084,0.944671746,1.164198826,1.320038717,0.773339714,0.293325103,0.434241591,0.50803755,0.202461396,2.583672091,NA,NA,NA,NA,NA,2324.713215,NA,NA,NA,23.70851064,NA,3.257577257,0.942279141,0.202461396,0.293325103
34,NA,5,2011,4.243365172,1.765879845,0.798029398,0.700734444,1.486191198,0.925827915,0.494957835,0.633212177,0.3310372,0.108559993,0.216003659,0.290539803,0.130474773,2.081979817,NA,NA,NA,NA,NA,3817.29411,NA,NA,NA,18.14153846,NA,1.459207212,0.506543462,0.130474773,0.108559993
35,NA,5,2011,10.15168224,6.624317071,0.833271494,0.626253795,1.391707159,0.952338645,1.687234803,1.784163004,1.21896581,0.455928746,0.553596044,0.611491737,0.22987477,3.006470362,NA,NA,NA,NA,NA,2554.399549,NA,NA,NA,5.996891192,NA,4.690363617,1.165087781,0.22987477,0.455928746
36,28,4,2011,9.546133777,6.86521225,0.843291727,0.569092796,1.335952652,0.952347653,1.417099218,1.465501298,0.925343458,0.434313468,0.485212188,0.370123228,0.180024154,3.059463657,NA,NA,NA,NA,NA,742.387328,3.3333333,NA,16.52857143,2.136125654,NA,3.807943974,0.855335416,0.180024154,0.434313468
37,8,5,2011,2.763183484,1.410910303,0.869263466,0.642863774,1.474440348,0.902161749,0.359217762,0.44405558,0.220703799,0.092095142,0.131776733,0.106334719,0.131726293,2.308548253,NA,NA,NA,NA,NA,1294.927466,2.5166667,NA,18.57142857,3.47244898,NA,1.023977141,0.238111452,0.131726293,0.092095142
38,NA,5,2011,11.84086917,9.917485819,0.884410416,0.528532333,1.305238677,0.929480069,2.095950356,2.41406562,1.579975859,0.560361063,0.572892387,0.113358563,0.482954407,3.513850733,NA,NA,NA,NA,NA,935.567225,NA,NA,NA,6.561,NA,6.089991835,0.68625095,0.482954407,0.560361063
39,4,5,2011,5.748366233,2.958489337,0.888428766,0.662864601,1.490451783,0.937158038,0.759877705,0.915345112,0.543817296,0.201696279,0.285654883,0.336482866,0.158958111,2.468057473,NA,NA,NA,NA,NA,1485.82571,2.1333333,NA,22.14285714,5.788601036,NA,2.219040113,0.622137749,0.158958111,0.201696279
41,NA,5,2011,4.748080185,2.029288764,0.818550333,0.748841114,1.459137308,0.88196868,0.625506805,0.799871154,0.390265047,0.165112098,0.275354326,0.44053923,0.26217325,2.131089507,NA,NA,NA,NA,NA,3260.951219,1.25,NA,14.38571429,3.878494624,NA,1.815643006,0.715893556,0.26217325,0.165112098
42,4,5,2011,4.351460073,1.867932222,0.810932495,0.734424994,1.460753117,0.897930568,0.599850863,0.764452175,0.314190263,0.170972974,0.288017126,0.40208204,0.205950908,2.09746898,NA,NA,NA,NA,NA,3818.815212,1.8833333,NA,22.85714286,2.815873016,NA,1.678493301,0.690099166,0.205950908,0.170972974
43,NA,5,2011,4.479312501,2.677465826,0.89551278,0.598954181,1.313892349,0.905527009,0.600180751,0.698923875,0.345156415,0.197349629,0.201931009,0.132643232,0.18327153,2.585937268,NA,NA,NA,NA,NA,637.051046,NA,NA,NA,2.86,NA,1.644261041,0.334574241,0.18327153,0.197349629
44,2,5,2011,5.845449413,3.722355883,0.861155379,0.580003012,1.385783503,0.926696503,0.63391485,0.666316516,0.418151604,0.142067835,0.205511081,0.158806605,0.146331363,2.676779504,NA,NA,NA,NA,NA,756.077242,2.2333333,NA,13.67142857,4.885561497,NA,1.71838297,0.364317686,0.146331363,0.142067835
45,8,5,2011,4.956269005,2.762994166,0.881545068,0.623244783,1.368587098,0.917659354,0.660785037,0.82831507,0.455696107,0.188874936,0.227647124,0.212740713,0.196478196,2.543249056,NA,NA,NA,NA,NA,1109.353077,1.9,NA,10.81428571,3.11,NA,1.944796214,0.440387837,0.196478196,0.188874936
46,8,5,2011,4.397833112,2.398306244,0.883500684,0.616120472,1.454082568,0.917658267,0.552235994,0.647251516,0.358907616,0.142017366,0.185084025,0.203499023,0.157249963,2.489391403,NA,NA,NA,NA,NA,2059.280994,2.2166667,NA,30.71428571,5.159,NA,1.558395126,0.388583048,0.157249963,0.142017366
47,NA,5,2011,4.917243807,2.810564373,0.802770876,0.682104718,1.438774645,0.908379929,0.810579011,0.935912299,0.523353529,0.231018932,0.315715216,0.268491397,0.274487925,2.625412605,NA,NA,NA,NA,NA,6063.580823,NA,NA,NA,11.19479167,NA,2.269844839,0.584206613,0.274487925,0.231018932
48,NA,5,2011,2.500783928,1.195287154,0.831330183,0.767387927,1.346245266,0.901544696,0.359414874,0.44110333,0.162553026,0.113336492,0.171662231,0.145885494,0.124765837,2.277093271,NA,NA,NA,NA,NA,6543.108087,NA,NA,NA,8.062,NA,0.96307123,0.317547725,0.124765837,0.113336492
49,NA,5,2011,5.384566475,3.212848028,0.872316797,0.604398796,1.307725132,0.915629787,0.733962959,0.878607083,0.430414621,0.220597589,0.260549663,0.215457705,0.209969784,2.701469561,NA,NA,NA,NA,NA,1266.026536,NA,NA,NA,5.670769231,NA,2.042984663,0.476007368,0.209969784,0.220597589
50,28,4,2011,5.144104858,2.471373359,0.937495483,0.638835646,1.398581285,0.919862226,0.429826389,0.500590125,0.326040611,0.110906788,0.147930789,0.192940941,0.118705409,2.353207719,NA,NA,NA,NA,NA,465.927121,1.15,NA,17.14285714,0.951,NA,1.256457125,0.34087173,0.118705409,0.110906788
51,4,5,2011,5.485476821,3.538613451,0.82775443,0.637197093,1.409990414,0.937846164,0.876982808,0.972352022,0.444068424,0.248461939,0.324754579,0.226319646,0.155035945,2.809154236,NA,NA,NA,NA,NA,2371.867363,5.6833333,NA,28.57142857,7.639,NA,2.293403254,0.551074225,0.155035945,0.248461939
53,NA,5,2011,5.760122778,3.385387573,0.787903058,0.661234709,1.458774562,0.937625696,0.981089682,1.081541797,0.598134508,0.267407784,0.387984396,0.415409609,0.188065424,2.669130844,NA,NA,NA,NA,NA,5667.714145,NA,NA,NA,23.51212121,NA,2.660765987,0.803394005,0.188065424,0.267407784
54,NA,5,2011,7.308394456,6.017503735,0.843181903,0.568367391,1.356881282,0.948528877,1.309075161,1.319128438,0.876001719,0.394009765,0.39251825,0.284480336,0.196050594,3.352980273,NA,NA,NA,NA,NA,3579.241718,NA,NA,NA,3.65,NA,3.504205318,0.676998586,0.196050594,0.394009765
55,5,5,2011,4.370074602,2.186920243,0.75249451,0.726074837,1.528743423,0.916200338,0.6023078,0.734057477,0.310820465,0.153208164,0.277170521,0.26294398,0.188688144,2.280796725,NA,NA,NA,NA,NA,6794.089842,5.5833333,NA,27.14285714,2.607179487,NA,1.647185742,0.540114501,0.188688144,0.153208164
1,NA,11,2011,6.464627497,3.839821193,0.853178737,0.603314521,1.419314663,0.923656976,0.890307944,1.04358215,0.616151071,0.190738127,0.290236469,0.183821612,0.231749502,2.735624906,NA,9.92,8.15,305.3,NA,390.033065,10.7872272,5.1,21.18758806,2.642352941,NA,2.550041165,0.474058081,0.231749502,0.190738127
2,10,11,2011,10.1175403,5.234607273,0.937527111,0.628346359,1.427525532,0.935205235,1.183067154,1.327950589,0.706136584,0.277316594,0.410897083,0.372049684,0.257411554,2.424130504,0.2847,9.44,8.03,567,NA,1683.012101,6.973561,7,80.274382,13.09625,NA,3.217154327,0.782946767,0.257411554,0.277316594
3,10,11,2011,13.59600962,9.739398725,0.858491108,0.535322781,1.369838193,0.952082898,2.286205249,2.314257913,1.039391827,0.597808181,0.6924662,0.267624266,0.263241906,3.126287266,0.0579,10.1,7.97,380.3,NA,442.746247,10.4385492,6.8,9.300433129,1.355,NA,5.639854989,0.960090466,0.263241906,0.597808181
4,10,11,2011,11.56839955,7.212417237,0.869567696,0.612464431,1.383204964,0.941460092,1.630010659,1.920047937,0.978108614,0.406642338,0.565033454,0.439740294,0.283448454,2.894874352,NA,6.25,7.61,556,NA,177.674249,7.7580866,6.2,17.87227145,1.895555556,NA,4.52816721,1.004773748,0.283448454,0.406642338
5,10,11,2011,13.0616484,9.422283522,0.897310903,0.560900603,1.3845799,0.959783798,2.373033453,2.562237458,1.408318464,0.569593002,0.734114036,0.482420507,0.272497019,3.195440854,0.0611,6.1,7.78,531,NA,115.924522,8.6297818,6.5,17.65415852,0.355,NA,6.343589375,1.216534543,0.272497019,0.569593002
6,10,11,2011,10.5441153,6.297721775,0.922639624,0.626955799,1.378473807,0.940888543,1.458180858,1.708633187,0.889303432,0.311856291,0.510682739,0.444962075,0.262763768,2.768206184,2.1129,13.33,8.42,572,NA,984.185925,7.5183705,7.4,18.48298767,3.07375,NA,4.056117477,0.955644814,0.262763768,0.311856291
7,NA,11,2011,13.30873728,9.353624215,0.861496548,0.562093986,1.357964056,0.955604909,2.492942344,2.544196707,1.453745623,0.624136493,0.780087642,0.469932969,0.309666254,3.191306938,0.0755,6.76,7.7,357,NA,381.749565,9.3053455,3.7,11.11077049,1.452941176,NA,6.490884674,1.250020611,0.309666254,0.624136493
8,NA,11,2011,11.33281417,7.93897016,0.843806928,0.586136608,1.382096972,0.955074252,2.007735974,2.079000889,1.081772657,0.521905368,0.655260315,0.414165585,0.23655831,3.116698689,0.2106,10.5,8.07,326.5,NA,801.948926,12.5959946,2.8,18.96283613,10.79411765,NA,5.16850952,1.0694259,0.23655831,0.521905368
9,NA,11,2011,9.089158913,5.689234673,0.855548827,0.601992559,1.319995423,0.943217228,1.471694395,1.604952628,0.921102928,0.369825991,0.495934817,0.395054141,0.251586664,2.833830393,NA,10.74,8.21,396.1,NA,3085.182727,5.5570564,3.5,16.0401228,2.890588235,NA,3.997749951,0.890988958,0.251586664,0.369825991
10,10,11,2011,11.43335161,6.670766133,0.872642194,0.618261766,1.435532089,0.951196403,1.645738161,1.873247218,1.002098099,0.376994994,0.575375735,0.477902233,0.240819734,2.725813287,0.2722,11.92,8.25,574,NA,1547.46392,9.0220446,7.7,16.58540514,4.98125,NA,4.521083478,1.053277968,0.240819734,0.376994994
11,10,11,2011,7.669500941,3.340976928,1.025793171,0.682288015,1.429155468,0.90342018,0.565291973,0.74382395,0.516387435,0.139826508,0.184548935,0.351347073,0.209683217,2.297735598,NA,10.02,8.44,301.5,NA,144.540249,9.1092141,7,13.79355958,0.865555556,NA,1.825503358,0.535896008,0.209683217,0.139826508
12,NA,11,2011,2.778307269,1.781832981,0.826327712,0.629218328,1.456685115,0.937003901,0.417842988,0.42233794,0.171506225,0.112076278,0.157496385,0.108215853,0.075914844,2.698008159,0.2446,11.19,8.28,304.2,NA,2786.976729,27.4366041,4.5,23.17241576,24.92823529,NA,1.011687153,0.265712238,0.075914844,0.112076278
13,NA,11,2011,7.992386853,5.731336098,0.851925243,0.578496913,1.360632009,0.954878384,1.12305901,1.14502634,0.639778396,0.263374997,0.341369595,0.223027994,0.152335212,3.031191701,0.1989,13.02,8.29,247.6,NA,384.761747,5.5788488,4,10.82722367,2.556470588,NA,2.907863746,0.564397589,0.152335212,0.263374997
14,NA,11,2011,8.032570312,3.873911923,0.981558644,0.72194325,1.509891049,0.910224075,0.849454884,0.993627394,0.701838096,0.161023264,0.314335631,0.707577616,0.28206907,2.35321425,NA,11.21,8.13,593,NA,839.601198,14.230423,5.9,61.53848093,7.147692308,NA,2.544920374,1.021913247,0.28206907,0.161023264
15,NA,11,2011,15.35935435,11.1897651,0.804299603,0.60247656,1.380462594,0.939631986,3.355389346,3.416224958,2.369778209,0.880895775,1.170600716,0.915369226,0.584792098,3.316472655,0.0597,10.1,7.94,678,NA,1122.746287,17.346733,4.4,41.10129897,11.335,NA,9.141392513,2.085969942,0.584792098,0.880895775
16,NA,11,2011,8.535257506,4.938961326,0.850052475,0.621644504,1.381495953,0.94128106,1.276346542,1.392500529,0.767434493,0.307763164,0.463037731,0.448034326,0.228928085,2.671629803,0.5203,11.87,8.24,394.1,NA,807.220244,14.6880629,4.7,28.07995679,1.59,NA,3.436281564,0.911072057,0.228928085,0.307763164
17,NA,11,2011,21.24662506,17.16368968,0.84971315,0.57071961,1.348746563,0.963957456,4.369735826,4.07301042,2.909314989,1.095231313,1.273357391,0.981686243,0.398168802,3.640029636,NA,9.5,7.78,285.2,NA,882.524789,14.8406095,3.3,24.00124491,1.072,NA,11.352061235,2.255043634,0.398168802,1.095231313
18,NA,11,2011,6.510483915,3.564446109,0.870145729,0.659580122,1.42218972,0.919287464,0.891322347,1.02059742,0.56679239,0.201940503,0.315519568,0.317411049,0.24158855,2.582048497,0.5065,11.81,8.24,366.6,NA,1081.328787,6.0146964,4.4,73.68737138,4.254117647,NA,2.478712157,0.632930617,0.24158855,0.201940503
19,10,11,2011,10.43822006,3.503035829,1.077538636,0.681087955,1.416977822,0.896373924,0.672445088,0.797489037,0.558959187,0.168990311,0.216528204,0.35713738,0.267345547,1.874560875,NA,11.05,8.13,429.7,NA,1658.161601,9.741193,7.8,28.16720196,7.295555556,NA,2.028893312,0.573665584,0.267345547,0.168990311
22,10,11,2011,6.876232184,4.100401135,0.950524469,0.642209896,1.328297005,0.903413245,0.564024879,0.663877621,0.37419674,0.126052001,0.158135035,0.150637758,0.193158175,2.504499655,NA,11.62,7.59,112.7,NA,-241.019021,5.6660183,5.7,24.15392397,3.21,NA,1.60209924,0.308772793,0.193158175,0.126052001
23,10,11,2011,8.538881897,4.388242343,0.86327777,0.609796338,1.422560622,0.947245908,1.054175312,1.167822956,0.527937839,0.270470156,0.34438535,0.228594337,0.154952854,2.44063567,0.0705,9.6,8.04,426.4,NA,194.994294,11.2448671,6.5,12.09227869,0.74875,NA,2.749936107,0.572979687,0.154952854,0.270470156
24,10,11,2011,7.168231987,2.290548057,1.152776338,0.718995872,1.42677853,0.877462439,0.352054589,0.495118235,0.438665186,0.081374476,0.096748594,0.325964308,0.204888121,1.915098533,NA,11.76,8.18,202.1,NA,495.459428,6.0582811,8.4,14.97136943,0.628888889,NA,1.28583801,0.422712902,0.204888121,0.081374476
27,NA,11,2011,5.112572286,2.873243436,0.843833742,0.62447924,1.441799399,0.919185848,0.729209681,0.802770222,0.446274318,0.165564079,0.261636236,0.182773981,0.211703991,2.583841969,1.5965,12.04,8.51,569,NA,905.869198,9.8501549,7.2,14.97136943,0.93125,NA,1.978254221,0.444410217,0.211703991,0.165564079
28,NA,11,2011,3.161704743,1.763547912,0.865495872,0.63686995,1.422380092,0.80652531,0.47538857,0.537888855,0.227269758,0.140858927,0.192182682,0,0.296554328,2.488328244,1.4161,11.62,8.48,514,NA,973.643288,8.8041208,6.6,11.43793989,0.5,NA,1.240547183,0.192182682,0.296554328,0.140858927
29,10,11,2011,15.91294059,9.594278977,0.954933106,0.607513017,1.370870319,0.940843186,1.879107901,2.311388167,1.481012881,0.401789551,0.564889273,0.703602716,0.377695785,2.941168027,NA,10.41,8.15,461,NA,766.55579,18.0005044,7.6,23.97943362,2.785714286,NA,5.671508949,1.268491989,0.377695785,0.401789551
31,NA,11,2011,11.77782628,7.249866571,0.938017588,0.607367405,1.395720592,0.939039449,1.513479001,1.82750267,1.020577121,0.298052708,0.494407597,0.445225117,0.297065277,2.849523619,NA,8.32,7.76,516,NA,349.368611,9.3489302,4.2,20.20607985,5.372307692,NA,4.361558792,0.939632714,0.297065277,0.298052708
32,NA,11,2011,5.730609645,2.843696638,0.860363486,0.682147881,1.465075079,0.926538062,0.820423023,0.90947094,0.531536239,0.165978498,0.315322684,0.355261434,0.202232474,2.37848145,0.965,11.08,8.38,665,NA,1554.09072,10.0898711,6.8,35.3431175,10.87375,NA,2.261430202,0.670584118,0.202232474,0.165978498
34,NA,11,2011,5.64472735,2.452998096,0.857308039,0.724011599,1.566746709,0.922972043,0.693403496,0.826545369,0.37169832,0.153490995,0.314305307,0.374224451,0.175770613,2.063654678,0.1696,11.11,8.25,888,NA,1793.709782,8.3028961,6.9,35.29949492,3.875,NA,1.891647185,0.688529758,0.175770613,0.153490995
35,NA,11,2011,10.86117067,6.109019737,0.836100476,0.64820975,1.439475616,0.946801658,1.742316145,1.776886637,1.004024519,0.413668748,0.614974,0.590720732,0.262592054,2.562935764,NA,NA,8.3,NA,NA,1743.255737,79.7383118,NA,36.36824829,9.3275,NA,4.523227301,1.205694732,0.262592054,0.413668748
36,10,11,2011,11.66231853,7.229501039,0.84282514,0.623465161,1.408302203,0.947890307,1.724235265,1.881842757,1.00569328,0.44880916,0.595661717,0.460152074,0.251256352,2.851813217,0.0373,9.28,8.05,769,NA,588.837064,11.8986385,6.7,20.62049443,10.2375,NA,4.611771302,1.055813791,0.251256352,0.44880916
37,16,11,2011,5.052218306,1.447327565,0.863859436,0.653989151,1.5039256,0.907331624,0.357799801,0.41731656,0.208361146,0.062239762,0.13087267,0.06772399,0.125591726,1.239474956,0.6613,12.27,8.45,472,NA,903.610062,9.8065702,7.8,16.75989549,1.7625,NA,0.983477507,0.19859666,0.125591726,0.062239762
38,NA,11,2011,4.804183935,3.102818294,0.872101338,0.605306582,1.436195832,0.945017078,0.704662551,0.748673654,0.434184947,0.174996402,0.229868583,0.185350842,0.114830938,2.766281489,0.21,10.04,8.15,298.4,NA,NA,10.3949644,3.8,14.7096339,2.057647059,NA,1.887521152,0.415219425,0.114830938,0.174996402
39,NA,11,2011,8.464030355,5.112770834,0.843181963,0.595577965,1.428641975,0.945545734,1.530738863,1.665335854,0.883963074,0.427181236,0.563347198,0.450264494,0.233004654,2.760229164,0.0841,9.64,7.97,719,NA,521.062973,11.6589223,6.9,24.96094182,2.06125,NA,4.080037791,1.013611692,0.233004654,0.427181236
40,NA,11,2011,6.493307456,2.619585432,0.843799156,0.652164435,1.474678356,0.929108431,0.648558381,0.724876774,0.354069891,0.16196694,0.254615364,0.265710786,0.138076849,1.884165075,1.1924,12.47,8.42,570,NA,1851.694282,8.7169513,6.8,11.08895919,1.37375,NA,1.727505046,0.52032615,0.138076849,0.16196694
41,NA,11,2011,5.144876636,2.193232271,0.839605403,0.766294757,1.439793387,0.892845178,0.673681882,0.742452865,0.377579596,0.16516838,0.327663827,0.71364609,0.233321673,2.078919948,0.0524,11.33,8.23,964,NA,1544.451739,9.2617607,5.6,26.77127918,6.43625,NA,1.793714343,1.041309917,0.233321673,0.16516838
